订单号,状态,开始时间,结束时间,电量kWh,金额,手机号,电桩编号,电站
CH2026080400037,已完成,2026-08-04 23:09:24,2026-08-04 23:29:24,20.0,24.0,13800138000,ST03-P01,五道口地铁充电站
CH2026080500043,已完成,2026-08-05 00:15:24,2026-08-05 01:30:24,8.75,11.2,18611112222,ST01-P04,北京理工大学充电站
CH2026080500038,已完成,2026-08-05 00:25:24,2026-08-05 00:45:24,20.0,25.6,13912345678,ST01-P02,北京理工大学充电站
CH2026080500042,已完成,2026-08-05 02:41:24,2026-08-05 03:41:24,60.0,72.0,13912345678,ST03-P02,五道口地铁充电站
CH2026080500036,已完成,2026-08-05 04:06:24,2026-08-05 05:36:24,10.5,13.44,13912345678,ST01-P03,北京理工大学充电站
CH2026080500041,已完成,2026-08-05 04:24:24,2026-08-05 05:24:24,7.0,9.45,18611112222,ST02-P04,中关村软件园充电站
CH2026080500040,已完成,2026-08-05 05:32:24,2026-08-05 06:47:24,8.75,11.81,13800138000,ST02-P04,中关村软件园充电站
CH2026080500039,已完成,2026-08-05 07:35:24,2026-08-05 08:50:24,8.75,11.2,18611112222,ST01-P04,北京理工大学充电站
CH2026080500048,已完成,2026-08-05 17:25:24,2026-08-05 18:05:24,40.0,54.0,13800138000,ST02-P02,中关村软件园充电站
CH2026080500050,已完成,2026-08-05 18:25:24,2026-08-05 19:55:24,90.0,108.0,18611112222,ST03-P02,五道口地铁充电站
CH2026080500044,已完成,2026-08-05 19:33:24,2026-08-05 20:03:24,3.5,4.73,18611112222,ST02-P04,中关村软件园充电站
CH2026080500052,已完成,2026-08-05 22:13:24,2026-08-05 23:03:24,5.833,7.0,13912345678,ST03-P03,五道口地铁充电站
CH2026080500045,已完成,2026-08-05 23:39:24,2026-08-06 00:39:24,7.0,8.96,13800138000,ST01-P04,北京理工大学充电站
CH2026080600047,已完成,2026-08-06 02:36:24,2026-08-06 02:56:24,2.333,2.8,13800138000,ST03-P03,五道口地铁充电站
CH2026080600046,已完成,2026-08-06 02:40:24,2026-08-06 03:00:24,20.0,24.0,13800138000,ST03-P01,五道口地铁充电站
CH2026080600049,已完成,2026-08-06 03:06:24,2026-08-06 03:36:24,3.5,4.2,13912345678,ST03-P03,五道口地铁充电站
CH2026080600051,已完成,2026-08-06 03:34:24,2026-08-06 03:54:24,2.333,3.15,13912345678,ST02-P04,中关村软件园充电站
CH2026080600053,已完成,2026-08-06 07:57:24,2026-08-06 09:12:24,8.75,11.81,18611112222,ST02-P04,中关村软件园充电站
CH2026080600054,已完成,2026-08-06 08:15:24,2026-08-06 09:30:24,8.75,10.5,13800138000,ST03-P03,五道口地铁充电站
CH2026080600063,已完成,2026-08-06 18:31:24,2026-08-06 19:01:24,30.0,36.0,18611112222,ST03-P01,五道口地铁充电站
CH2026080600056,已完成,2026-08-06 20:29:24,2026-08-06 21:09:24,4.667,6.3,13800138000,ST02-P04,中关村软件园充电站
CH2026080600061,已完成,2026-08-06 21:40:24,2026-08-06 22:30:24,50.0,64.0,13800138000,ST01-P01,北京理工大学充电站
CH2026080600065,已完成,2026-08-06 23:37:24,2026-08-06 23:57:24,20.0,24.0,13800138000,ST03-P01,五道口地铁充电站
CH2026080700062,已完成,2026-08-07 00:13:24,2026-08-07 01:28:24,75.0,101.25,13912345678,ST02-P01,中关村软件园充电站
CH2026080700059,已完成,2026-08-07 02:30:24,2026-08-07 03:20:24,50.0,64.0,13800138000,ST01-P01,北京理工大学充电站
CH2026080700060,已完成,2026-08-07 02:45:24,2026-08-07 03:35:24,5.833,7.87,13912345678,ST02-P04,中关村软件园充电站
CH2026080700055,已完成,2026-08-07 03:28:24,2026-08-07 04:28:24,60.0,76.8,13800138000,ST01-P02,北京理工大学充电站
CH2026080700057,已完成,2026-08-07 07:12:24,2026-08-07 08:42:24,10.5,14.18,13800138000,ST02-P04,中关村软件园充电站
CH2026080700058,已完成,2026-08-07 07:59:24,2026-08-07 08:59:24,60.0,72.0,13800138000,ST03-P01,五道口地铁充电站
CH2026080700064,已完成,2026-08-07 08:03:24,2026-08-07 09:18:24,75.0,101.25,13800138000,ST02-P01,中关村软件园充电站
CH2026080700070,已完成,2026-08-07 17:20:24,2026-08-07 18:00:24,4.667,6.3,18611112222,ST02-P03,中关村软件园充电站
CH2026080700073,已完成,2026-08-07 19:01:24,2026-08-07 20:01:24,60.0,76.8,13800138000,ST01-P02,北京理工大学充电站
CH2026080700068,已完成,2026-08-07 21:33:24,2026-08-07 22:33:24,7.0,8.4,13800138000,ST03-P03,五道口地铁充电站
CH2026080700071,已完成,2026-08-07 23:25:24,2026-08-08 00:05:24,4.667,5.97,18611112222,ST01-P04,北京理工大学充电站
CH2026080800077,已完成,2026-08-08 00:01:24,2026-08-08 01:31:24,90.0,108.0,18611112222,ST03-P01,五道口地铁充电站
CH2026080800072,已完成,2026-08-08 00:11:24,2026-08-08 00:51:24,4.667,6.3,13800138000,ST02-P03,中关村软件园充电站
CH2026080800074,已完成,2026-08-08 03:08:24,2026-08-08 03:48:24,40.0,51.2,13800138000,ST01-P02,北京理工大学充电站
CH2026080800076,已完成,2026-08-08 04:12:24,2026-08-08 05:42:24,90.0,121.5,13912345678,ST02-P02,中关村软件园充电站
CH2026080800066,已完成,2026-08-08 04:37:24,2026-08-08 05:37:24,60.0,72.0,18611112222,ST03-P01,五道口地铁充电站
CH2026080800075,已完成,2026-08-08 06:44:24,2026-08-08 07:14:24,3.5,4.48,13912345678,ST01-P03,北京理工大学充电站
CH2026080800067,已完成,2026-08-08 07:02:24,2026-08-08 07:22:24,20.0,25.6,13800138000,ST01-P02,北京理工大学充电站
CH2026080800069,已完成,2026-08-08 08:01:24,2026-08-08 08:21:24,2.333,2.99,18611112222,ST01-P04,北京理工大学充电站
CH2026080800078,已完成,2026-08-08 08:58:24,2026-08-08 10:28:24,10.5,12.6,18611112222,ST03-P03,五道口地铁充电站
CH2026080800086,已完成,2026-08-08 20:05:24,2026-08-08 20:25:24,2.333,3.15,18611112222,ST02-P04,中关村软件园充电站
CH2026080800089,已完成,2026-08-08 21:43:24,2026-08-08 23:13:24,90.0,115.2,13912345678,ST01-P01,北京理工大学充电站
CH2026080800091,已完成,2026-08-08 21:51:24,2026-08-08 22:51:24,7.0,8.4,13800138000,ST03-P03,五道口地铁充电站
CH2026080900081,已完成,2026-08-09 00:02:24,2026-08-09 00:32:24,3.5,4.48,13912345678,ST01-P03,北京理工大学充电站
CH2026080900082,已完成,2026-08-09 01:08:24,2026-08-09 01:58:24,50.0,67.5,13800138000,ST02-P02,中关村软件园充电站
CH2026080900085,已完成,2026-08-09 01:30:24,2026-08-09 02:45:24,8.75,11.2,18611112222,ST01-P03,北京理工大学充电站
CH2026080900090,已完成,2026-08-09 02:57:24,2026-08-09 03:27:24,30.0,38.4,13912345678,ST01-P01,北京理工大学充电站
CH2026080900092,已完成,2026-08-09 04:41:24,2026-08-09 05:11:24,3.5,4.73,18611112222,ST02-P03,中关村软件园充电站
CH2026080900087,已完成,2026-08-09 05:06:24,2026-08-09 05:26:24,20.0,25.6,13800138000,ST01-P02,北京理工大学充电站
CH2026080900088,已完成,2026-08-09 05:13:24,2026-08-09 05:43:24,30.0,40.5,18611112222,ST02-P02,中关村软件园充电站
CH2026080900079,已完成,2026-08-09 05:44:24,2026-08-09 06:14:24,30.0,40.5,18611112222,ST02-P01,中关村软件园充电站
CH2026080900080,已完成,2026-08-09 05:53:24,2026-08-09 06:53:24,60.0,81.0,13800138000,ST02-P01,中关村软件园充电站
CH2026080900083,已完成,2026-08-09 07:00:24,2026-08-09 07:50:24,50.0,67.5,13800138000,ST02-P01,中关村软件园充电站
CH2026080900084,已完成,2026-08-09 09:19:24,2026-08-09 10:49:24,90.0,121.5,13800138000,ST02-P01,中关村软件园充电站
CH2026080900099,已完成,2026-08-09 17:15:24,2026-08-09 18:30:24,75.0,101.25,13912345678,ST02-P01,中关村软件园充电站
CH2026080900096,已完成,2026-08-09 19:18:24,2026-08-09 19:58:24,4.667,5.97,13800138000,ST01-P04,北京理工大学充电站
CH2026081000098,已完成,2026-08-10 00:45:24,2026-08-10 01:05:24,2.333,3.15,13912345678,ST02-P03,中关村软件园充电站
CH2026081000094,已完成,2026-08-10 02:23:24,2026-08-10 02:53:24,30.0,40.5,13912345678,ST02-P02,中关村软件园充电站
CH2026081000095,已完成,2026-08-10 07:46:24,2026-08-10 08:36:24,50.0,64.0,13912345678,ST01-P02,北京理工大学充电站
CH2026081000097,已完成,2026-08-10 08:58:24,2026-08-10 09:28:24,3.5,4.48,13800138000,ST01-P04,北京理工大学充电站
CH2026081000093,已完成,2026-08-10 09:29:24,2026-08-10 10:44:24,8.75,11.2,13912345678,ST01-P03,北京理工大学充电站
CH2026081000100,已完成,2026-08-10 09:33:24,2026-08-10 10:13:24,40.0,48.0,13912345678,ST03-P01,五道口地铁充电站
CH2026081000103,已完成,2026-08-10 20:43:24,2026-08-10 21:43:24,60.0,72.0,13800138000,ST03-P01,五道口地铁充电站
CH2026081000106,已完成,2026-08-10 23:01:24,2026-08-10 23:41:24,40.0,51.2,18611112222,ST01-P02,北京理工大学充电站
CH2026081000102,已完成,2026-08-10 23:13:24,2026-08-11 00:13:24,7.0,9.45,13912345678,ST02-P03,中关村软件园充电站
CH2026081000108,已完成,2026-08-10 23:15:24,2026-08-11 00:30:24,8.75,10.5,13912345678,ST03-P03,五道口地铁充电站
CH2026081100107,已完成,2026-08-11 00:08:24,2026-08-11 00:48:24,4.667,5.6,13800138000,ST03-P03,五道口地铁充电站
CH2026081100105,已完成,2026-08-11 03:17:24,2026-08-11 04:07:24,50.0,64.0,18611112222,ST01-P01,北京理工大学充电站
CH2026081100104,已完成,2026-08-11 07:55:24,2026-08-11 08:45:24,5.833,7.47,13912345678,ST01-P04,北京理工大学充电站
CH2026081100101,已完成,2026-08-11 08:34:24,2026-08-11 09:34:24,60.0,72.0,13912345678,ST03-P02,五道口地铁充电站
CH2026081100112,已完成,2026-08-11 23:11:24,2026-08-12 00:01:24,5.833,7.47,13912345678,ST01-P04,北京理工大学充电站
CH2026081100115,已完成,2026-08-11 23:35:24,2026-08-12 01:05:24,10.5,12.6,18611112222,ST03-P03,五道口地铁充电站
CH2026081200116,已完成,2026-08-12 00:26:24,2026-08-12 01:56:24,10.5,13.44,18611112222,ST01-P04,北京理工大学充电站
CH2026081200113,已完成,2026-08-12 03:08:24,2026-08-12 03:58:24,5.833,7.87,18611112222,ST02-P04,中关村软件园充电站
CH2026081200109,已完成,2026-08-12 03:14:24,2026-08-12 04:29:24,75.0,90.0,13800138000,ST03-P01,五道口地铁充电站
CH2026081200110,已完成,2026-08-12 04:01:24,2026-08-12 05:01:24,7.0,9.45,18611112222,ST02-P03,中关村软件园充电站
CH2026081200118,已完成,2026-08-12 07:11:24,2026-08-12 08:01:24,5.833,7.87,18611112222,ST02-P04,中关村软件园充电站
CH2026081200114,已完成,2026-08-12 07:22:24,2026-08-12 08:22:24,7.0,8.96,18611112222,ST01-P03,北京理工大学充电站
CH2026081200111,已完成,2026-08-12 09:21:24,2026-08-12 10:01:24,40.0,54.0,13912345678,ST02-P01,中关村软件园充电站
CH2026081200117,已完成,2026-08-12 09:38:24,2026-08-12 10:08:24,3.5,4.48,13800138000,ST01-P04,北京理工大学充电站
CH2026081200125,已完成,2026-08-12 17:13:24,2026-08-12 18:43:24,90.0,108.0,18611112222,ST03-P02,五道口地铁充电站
CH2026081200119,已完成,2026-08-12 21:25:24,2026-08-12 21:55:24,3.5,4.73,13912345678,ST02-P03,中关村软件园充电站
CH2026081200124,已完成,2026-08-12 22:52:24,2026-08-12 23:42:24,5.833,7.0,18611112222,ST03-P03,五道口地铁充电站
CH2026081300127,已完成,2026-08-13 00:52:24,2026-08-13 01:22:24,3.5,4.73,13912345678,ST02-P04,中关村软件园充电站
CH2026081300121,已完成,2026-08-13 02:29:24,2026-08-13 03:59:24,90.0,115.2,13912345678,ST01-P02,北京理工大学充电站
CH2026081300126,已完成,2026-08-13 03:53:24,2026-08-13 05:23:24,90.0,108.0,13912345678,ST03-P01,五道口地铁充电站
CH2026081300123,已完成,2026-08-13 04:49:24,2026-08-13 05:39:24,50.0,64.0,13912345678,ST01-P02,北京理工大学充电站
CH2026081300122,已完成,2026-08-13 08:05:24,2026-08-13 08:35:24,30.0,36.0,13912345678,ST03-P01,五道口地铁充电站
CH2026081300120,已完成,2026-08-13 08:43:24,2026-08-13 10:13:24,10.5,12.6,18611112222,ST03-P03,五道口地铁充电站
CH2026081300135,已完成,2026-08-13 18:40:24,2026-08-13 19:20:24,40.0,48.0,13912345678,ST03-P02,五道口地铁充电站
CH2026081300136,已完成,2026-08-13 20:06:24,2026-08-13 21:21:24,75.0,101.25,13912345678,ST02-P01,中关村软件园充电站
CH2026081300132,已完成,2026-08-13 20:19:24,2026-08-13 21:19:24,60.0,76.8,13912345678,ST01-P02,北京理工大学充电站
CH2026081400129,已完成,2026-08-14 00:25:24,2026-08-14 01:05:24,40.0,51.2,18611112222,ST01-P02,北京理工大学充电站
CH2026081400137,已完成,2026-08-14 02:09:24,2026-08-14 02:39:24,30.0,36.0,18611112222,ST03-P01,五道口地铁充电站
CH2026081400128,已完成,2026-08-14 02:23:24,2026-08-14 03:13:24,50.0,60.0,13912345678,ST03-P01,五道口地铁充电站
CH2026081400131,已完成,2026-08-14 04:55:24,2026-08-14 05:25:24,3.5,4.48,13912345678,ST01-P04,北京理工大学充电站
CH2026081400130,已完成,2026-08-14 07:32:24,2026-08-14 08:02:24,30.0,40.5,13912345678,ST02-P02,中关村软件园充电站
CH2026081400133,已完成,2026-08-14 08:27:24,2026-08-14 09:57:24,10.5,14.18,13912345678,ST02-P04,中关村软件园充电站
CH2026081400134,已完成,2026-08-14 08:46:24,2026-08-14 10:16:24,10.5,14.18,13912345678,ST02-P03,中关村软件园充电站
CH2026081400142,已完成,2026-08-14 19:29:24,2026-08-14 19:49:24,2.333,3.15,13800138000,ST02-P03,中关村软件园充电站
CH2026081400139,已完成,2026-08-14 20:54:24,2026-08-14 21:24:24,3.5,4.2,18611112222,ST03-P03,五道口地铁充电站
CH2026081400144,已完成,2026-08-14 21:23:24,2026-08-14 22:53:24,90.0,121.5,13912345678,ST02-P02,中关村软件园充电站
CH2026081400146,已完成,2026-08-14 22:26:24,2026-08-14 23:41:24,75.0,90.0,13800138000,ST03-P01,五道口地铁充电站
CH2026081400143,已完成,2026-08-14 23:27:24,2026-08-15 00:17:24,50.0,67.5,13912345678,ST02-P01,中关村软件园充电站
CH2026081500145,已完成,2026-08-15 07:10:24,2026-08-15 07:30:24,2.333,3.15,13912345678,ST02-P03,中关村软件园充电站
CH2026081500147,已完成,2026-08-15 07:52:24,2026-08-15 08:12:24,20.0,25.6,18611112222,ST01-P02,北京理工大学充电站
CH2026081500140,已完成,2026-08-15 08:42:24,2026-08-15 09:32:24,5.833,7.87,13800138000,ST02-P04,中关村软件园充电站
CH2026081500138,已完成,2026-08-15 09:16:24,2026-08-15 09:56:24,4.667,6.3,13912345678,ST02-P03,中关村软件园充电站
CH2026081500141,已完成,2026-08-15 09:35:24,2026-08-15 10:50:24,75.0,90.0,18611112222,ST03-P02,五道口地铁充电站
CH2026081500156,已完成,2026-08-15 19:58:24,2026-08-15 20:38:24,40.0,51.2,13912345678,ST01-P01,北京理工大学充电站
CH2026081500153,已完成,2026-08-15 21:15:24,2026-08-15 22:30:24,75.0,101.25,18611112222,ST02-P01,中关村软件园充电站
CH2026081600150,已完成,2026-08-16 00:51:24,2026-08-16 01:31:24,4.667,6.3,18611112222,ST02-P04,中关村软件园充电站
CH2026081600154,已完成,2026-08-16 02:34:24,2026-08-16 03:49:24,8.75,11.2,13800138000,ST01-P04,北京理工大学充电站
CH2026081600148,已完成,2026-08-16 05:25:24,2026-08-16 05:55:24,3.5,4.48,13800138000,ST01-P04,北京理工大学充电站
CH2026081600155,已完成,2026-08-16 05:50:24,2026-08-16 06:50:24,60.0,81.0,18611112222,ST02-P01,中关村软件园充电站
CH2026081600151,已完成,2026-08-16 05:51:24,2026-08-16 07:21:24,10.5,13.44,18611112222,ST01-P03,北京理工大学充电站
CH2026081600152,已完成,2026-08-16 06:03:24,2026-08-16 06:23:24,2.333,2.99,13912345678,ST01-P03,北京理工大学充电站
CH2026081600149,已完成,2026-08-16 06:04:24,2026-08-16 06:34:24,3.5,4.73,18611112222,ST02-P04,中关村软件园充电站
CH2026081600161,已完成,2026-08-16 19:13:24,2026-08-16 20:43:24,90.0,108.0,13912345678,ST03-P01,五道口地铁充电站
CH2026081600163,已完成,2026-08-16 19:25:24,2026-08-16 20:55:24,90.0,115.2,13912345678,ST01-P02,北京理工大学充电站
CH2026081600162,已完成,2026-08-16 22:46:24,2026-08-16 23:16:24,30.0,36.0,13912345678,ST03-P02,五道口地铁充电站
CH2026081600157,已完成,2026-08-16 23:40:24,2026-08-17 01:10:24,90.0,108.0,18611112222,ST03-P01,五道口地铁充电站
CH2026081700160,已完成,2026-08-17 01:01:24,2026-08-17 02:31:24,90.0,108.0,18611112222,ST03-P01,五道口地铁充电站
CH2026081700159,已完成,2026-08-17 05:13:24,2026-08-17 05:43:24,3.5,4.2,13912345678,ST03-P03,五道口地铁充电站
CH2026081700158,已完成,2026-08-17 06:13:24,2026-08-17 06:53:24,4.667,6.3,13912345678,ST02-P03,中关村软件园充电站
CH2026081700169,已完成,2026-08-17 17:59:24,2026-08-17 19:14:24,8.75,11.2,18611112222,ST01-P04,北京理工大学充电站
CH2026081700172,已完成,2026-08-17 18:05:24,2026-08-17 19:05:24,60.0,72.0,13912345678,ST03-P02,五道口地铁充电站
CH2026081700168,已完成,2026-08-17 20:09:24,2026-08-17 21:09:24,60.0,76.8,13800138000,ST01-P02,北京理工大学充电站
CH2026081700164,已完成,2026-08-17 21:19:24,2026-08-17 21:39:24,20.0,24.0,18611112222,ST03-P02,五道口地铁充电站
CH2026081700173,已完成,2026-08-17 23:18:24,2026-08-18 00:33:24,75.0,101.25,13912345678,ST02-P02,中关村软件园充电站
CH2026081700166,已完成,2026-08-17 23:23:24,2026-08-18 00:23:24,60.0,81.0,13912345678,ST02-P02,中关村软件园充电站
CH2026081800174,已完成,2026-08-18 00:24:24,2026-08-18 00:54:24,3.5,4.73,13912345678,ST02-P04,中关村软件园充电站
CH2026081800171,已完成,2026-08-18 02:21:24,2026-08-18 03:36:24,8.75,11.2,13912345678,ST01-P04,北京理工大学充电站
CH2026081800175,已完成,2026-08-18 03:20:24,2026-08-18 03:40:24,20.0,25.6,18611112222,ST01-P02,北京理工大学充电站
CH2026081800165,已完成,2026-08-18 04:09:24,2026-08-18 04:39:24,3.5,4.73,13912345678,ST02-P04,中关村软件园充电站
CH2026081800176,已完成,2026-08-18 04:28:24,2026-08-18 04:58:24,30.0,36.0,18611112222,ST03-P01,五道口地铁充电站
CH2026081800167,已完成,2026-08-18 09:07:24,2026-08-18 09:37:24,30.0,40.5,18611112222,ST02-P01,中关村软件园充电站
CH2026081800170,已完成,2026-08-18 09:35:24,2026-08-18 10:15:24,4.667,6.3,13912345678,ST02-P04,中关村软件园充电站
CH2026081800177,已完成,2026-08-18 17:02:24,2026-08-18 17:42:24,40.0,54.0,18611112222,ST02-P01,中关村软件园充电站
CH2026081800184,已完成,2026-08-18 18:33:24,2026-08-18 20:03:24,90.0,115.2,13912345678,ST01-P01,北京理工大学充电站
CH2026081800185,已完成,2026-08-18 18:36:24,2026-08-18 19:36:24,60.0,76.8,13912345678,ST01-P02,北京理工大学充电站
CH2026081800183,已完成,2026-08-18 19:19:24,2026-08-18 19:49:24,3.5,4.73,13912345678,ST02-P04,中关村软件园充电站
CH2026081800189,已完成,2026-08-18 19:21:24,2026-08-18 20:51:24,10.5,14.18,13912345678,ST02-P03,中关村软件园充电站
CH2026081900178,已完成,2026-08-19 00:26:24,2026-08-19 01:06:24,40.0,51.2,13800138000,ST01-P02,北京理工大学充电站
CH2026081900188,已完成,2026-08-19 01:51:24,2026-08-19 02:51:24,60.0,72.0,13912345678,ST03-P01,五道口地铁充电站
CH2026081900181,已完成,2026-08-19 05:00:24,2026-08-19 06:30:24,90.0,121.5,18611112222,ST02-P01,中关村软件园充电站
CH2026081900187,已完成,2026-08-19 07:25:24,2026-08-19 07:45:24,20.0,24.0,13912345678,ST03-P02,五道口地铁充电站
CH2026081900186,已完成,2026-08-19 08:31:24,2026-08-19 09:01:24,3.5,4.2,18611112222,ST03-P03,五道口地铁充电站
CH2026081900180,已完成,2026-08-19 08:37:24,2026-08-19 09:37:24,7.0,8.96,13912345678,ST01-P03,北京理工大学充电站
CH2026081900179,已完成,2026-08-19 08:55:24,2026-08-19 09:55:24,7.0,8.96,13912345678,ST01-P03,北京理工大学充电站
CH2026081900182,已完成,2026-08-19 09:04:24,2026-08-19 09:44:24,4.667,6.3,13800138000,ST02-P04,中关村软件园充电站
CH2026081900195,已完成,2026-08-19 23:56:24,2026-08-20 01:26:24,90.0,121.5,18611112222,ST02-P01,中关村软件园充电站
CH2026081900201,已完成,2026-08-19 23:56:24,2026-08-20 00:46:24,5.833,7.87,18611112222,ST02-P04,中关村软件园充电站
CH2026082000200,已完成,2026-08-20 00:12:24,2026-08-20 00:32:24,20.0,27.0,18611112222,ST02-P01,中关村软件园充电站
CH2026082000194,已完成,2026-08-20 00:38:24,2026-08-20 01:08:24,30.0,36.0,13912345678,ST03-P02,五道口地铁充电站
CH2026082000196,已完成,2026-08-20 01:41:24,2026-08-20 02:21:24,4.667,6.3,13800138000,ST02-P04,中关村软件园充电站
CH2026082000192,已完成,2026-08-20 02:29:24,2026-08-20 03:29:24,60.0,76.8,13800138000,ST01-P02,北京理工大学充电站
CH2026082000197,已完成,2026-08-20 03:13:24,2026-08-20 03:33:24,2.333,2.8,18611112222,ST03-P03,五道口地铁充电站
CH2026082000191,已完成,2026-08-20 03:24:24,2026-08-20 04:39:24,75.0,96.0,13800138000,ST01-P02,北京理工大学充电站
CH2026082000198,已完成,2026-08-20 04:42:24,2026-08-20 05:22:24,40.0,48.0,13800138000,ST03-P01,五道口地铁充电站
CH2026082000190,已完成,2026-08-20 08:01:24,2026-08-20 09:16:24,75.0,101.25,18611112222,ST02-P01,中关村软件园充电站
CH2026082000199,已完成,2026-08-20 08:30:24,2026-08-20 10:00:24,10.5,13.44,13800138000,ST01-P03,北京理工大学充电站
CH2026082000193,已完成,2026-08-20 09:14:24,2026-08-20 10:04:24,50.0,64.0,13800138000,ST01-P02,北京理工大学充电站
CH2026082000207,已完成,2026-08-20 16:59:24,2026-08-20 17:49:24,5.833,7.47,13912345678,ST01-P03,北京理工大学充电站
CH2026082000202,已完成,2026-08-20 18:12:24,2026-08-20 18:32:24,20.0,24.0,18611112222,ST03-P01,五道口地铁充电站
CH2026082000209,已完成,2026-08-20 18:18:24,2026-08-20 19:08:24,5.833,7.87,13800138000,ST02-P04,中关村软件园充电站
